Contiguous U.S., Precipitation
Units: Inches
Base Period: 2017-2021
Missing: -99
Date,Value,Anomaly
201701,3.24,0.74
201702,2.25,-0.33
201703,2.59,0.05
201704,3.50,0.75
201705,3.36,-0.03
201706,3.07,0.01
201707,2.80,-0.15
201708,3.42,0.47
201709,2.27,-0.35
201710,2.60,-0.31
201711,1.62,-0.28
201712,1.59,-0.78
201801,1.85,-0.65
201802,2.89,0.31
201803,2.48,-0.06
201804,2.46,-0.29
201805,3.02,-0.37
201806,3.15,0.09
201807,2.86,-0.09
201808,2.98,0.03
201809,3.57,0.95
201810,3.43,0.52
201811,2.71,0.81
201812,3.25,0.88
201901,2.56,0.06
201902,3.28,0.70
201903,2.24,-0.30
201904,3.21,0.46
201905,4.47,1.08
201906,3.37,0.31
201907,2.76,-0.19
201908,2.78,-0.17
201909,2.45,-0.17
201910,3.19,0.28
201911,1.94,0.04
201912,2.57,0.20
202001,2.76,0.26
202002,2.45,-0.13
202003,2.86,0.32
202004,2.52,-0.23
202005,3.09,-0.30
202006,2.73,-0.33
202007,2.94,-0.01
202008,2.42,-0.53
202009,2.44,-0.18
202010,2.18,-0.73
202011,1.94,0.04
202012,2.05,-0.32
202101,2.09,-0.41
202102,2.03,-0.55
202103,2.53,-0.01
202104,2.07,-0.68
202105,2.99,-0.40
202106,2.98,-0.08
202107,3.41,0.46
202108,3.15,0.20
202109,2.38,-0.24
202110,3.16,0.25
202111,1.31,-0.59
202112,2.38,0.01
